City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
305,Ambilobe,MG,-13.2,49.05,76.01,82,67,3.24,broken clouds
306,Warmbad,NA,-28.45,18.7333,65.95,39,0,9.48,clear sky
307,Sirjan,IR,29.452,55.6814,38.46,27,0,4.72,clear sky
308,Bethel,US,41.3712,-73.414,41.41,73,0,4.0,clear sky
309,Gerash,IR,27.6652,54.1371,33.94,39,0,2.57,clear sky
310,Redondo,PT,38.6487,-7.5471,51.04,89,96,7.36,overcast clouds
311,Kaitangata,NZ,-46.2817,169.8464,58.14,54,9,8.5,clear sky
312,Kualakapuas,ID,-3.0091,114.3876,90.03,49,100,7.02,overcast clouds
313,Champerico,GT,14.3,-91.9167,76.98,72,3,4.52,clear sky
314,Rabo De Peixe,PT,37.8,-25.5833,62.11,82,75,20.71,broken clouds
315,Mount Gambier,AU,-37.8333,140.7667,71.8,52,26,8.7,scattered clouds
316,Turukhansk,RU,65.8167,87.9833,-15.48,84,21,8.39,few clouds
317,Lahti,RU,59.9911,30.1597,28.58,93,100,11.05,snow
318,Dhidhdhoo,MV,6.8833,73.1,81.41,77,95,15.43,overcast clouds
319,Penzance,GB,50.1186,-5.5371,50.68,91,100,36.06,moderate rain
320,Bilaspur,IN,22.0833,82.15,69.08,28,0,1.79,clear sky
321,Tsabong,BW,-26.0217,22.401,74.89,52,83,4.9,broken clouds
322,Kudahuvadhoo,MV,2.6708,72.8944,81.41,75,22,12.53,few clouds
323,Nioro,GM,13.35,-15.75,72.09,60,100,5.5,overcast clouds
324,Paraopeba,BR,-19.2757,-44.4033,67.75,90,98,2.48,overcast clouds
325,Altay,CN,47.8667,88.1167,14.05,90,100,1.5,overcast clouds
326,Paamiut,GL,61.994,-49.6678,11.28,78,5,12.37,clear sky
327,Sarkand,KZ,45.41,79.9186,27.37,97,100,1.72,light snow
328,Abnub,EG,27.2696,31.1511,46.62,69,0,6.73,clear sky
329,Plettenberg Bay,ZA,-34.0527,23.3716,58.37,62,31,4.29,scattered clouds
330,Kushmurun,KZ,52.4503,64.6311,6.01,98,98,4.14,overcast clouds
331,Muli,MV,2.9167,73.5667,81.5,73,17,12.28,few clouds
332,Lengshuijiang,CN,27.6881,111.4294,49.39,37,1,1.07,clear sky
333,Mapiri,BO,-15.25,-68.1667,69.17,100,100,1.16,overcast clouds
334,Chenzhou,CN,25.8,113.0333,41.4,86,100,3.15,overcast clouds
335,Yeppoon,AU,-23.1333,150.7333,89.38,69,65,17.67,broken clouds
336,Nanchang,CN,28.6833,115.8833,46.44,59,90,5.21,overcast clouds
337,Santa Maria Del Oro,MX,25.9333,-105.3667,48.36,62,100,2.91,overcast clouds
338,Merrill,US,45.1805,-89.6835,40.62,98,100,3.44,light rain
339,San Cristobal,VE,7.7669,-72.225,69.98,95,20,1.12,few clouds
340,Narsaq,GL,60.9167,-46.05,5.22,64,3,7.2,clear sky
341,Canon City,US,38.441,-105.2424,29.39,58,0,4.61,clear sky
342,Sur,OM,22.5667,59.5289,72.32,47,1,17.85,clear sky
343,Kwinana,AU,-32.25,115.7667,94.15,49,0,12.24,clear sky
